1313 13
0	19253	0	1	5	0.165	116	6.65000000000000000000e+02	1.50000000000000000000e+01	4.92469817399978637695e-01	1.67222833633422851562e+00	5.775	0.5932030081748962
1	19253	0	1	8	0.043	116	6.71000000000000000000e+02	1.70000000000000000000e+01	4.99825447797775268555e-01	1.73842895030975341797e+00	5.7	0.7873916625976562
2	20223	1	1	1	0.459	116	6.86000000000000000000e+02	2.20000000000000000000e+01	5.18123149871826171875e-01	1.90310835838317871094e+00	4.95	1.2704511880874634
3	20223	1	1	6	0.615	116	6.57000000000000000000e+02	1.30000000000000000000e+01	4.83184695243835449219e-01	1.58866214752197265625e+00	4.9750000000000005	0.3480757474899292
4	31411	2	2	22	0.804	1	6.01000000000000000000e+02	1.90000000000000000000e+01	2.16138035058975219727e-01	7.72695159912109375000e+00	1.5250000000000001	0.6857378482818604
5	31411	2	2	21	0.324	1	6.64000000000000000000e+02	2.00000000000000000000e+01	2.36468628048896789551e-01	8.07100772857666015625e+00	0.9500000000000001	0.771751880645752
6	31411	2	2	17	0.181	1	3.72000000000000000000e+02	1.40000000000000000000e+01	1.42911523580551147461e-01	6.48773336410522460938e+00	1.1500000000000001	0.37593334913253784
7	31411	2	1	54	0.838	1	7.29000000000000000000e+02	2.20000000000000000000e+01	2.57262885570526123047e-01	8.42291069030761718750e+00	0.8	0.8597276210784912
8	31411	2	2	20	0.361	1	9.10000000000000000000e+02	2.60000000000000000000e+01	3.15584897994995117188e-01	9.40989780426025390625e+00	0.925	1.10647451877594
9	31411	2	2	20	0.349	1	4.69000000000000000000e+02	1.60000000000000000000e+01	1.73847958445549011230e-01	7.01127338409423828125e+00	0.925	0.5068182945251465
10	31411	2	2	21	0.111	1	4.93000000000000000000e+02	1.60000000000000000000e+01	1.81540131568908691406e-01	7.14144849777221679688e+00	1.35	0.5393620729446411
11	31411	2	2	21	0.091	1	3.58000000000000000000e+02	1.30000000000000000000e+01	1.38143122196197509766e-01	6.40703773498535156250e+00	1.6	0.3557593822479248
12	31411	2	2	21	0.094	1	8.47000000000000000000e+02	2.40000000000000000000e+01	2.95099705457687377930e-01	9.06322574615478515625e+00	1.6	1.0198065042495728
