0	L6_IPC
1	L6_UTPC
2	L1_DAC
3	L23_DBC
4	L23_PC
5	L23_MC
6	L23_SBC
7	L23_BTC
8	L23_LBC
9	L23_NBC
10	L4_BP
11	L4_SS
12	L4_PC
13	L4_BTC
14	L4_LBC
15	L4_MC
16	L4_DBC
17	L5_TTPC1
18	L5_MC
19	L5_TTPC2
20	L5_UTPC
21	L6_TPC_L1
22	L6_BPC
23	L6_MC
24	L6_TPC_L4
